, Public sector Quasi Govt.State 2008-09*, Public sector Quasi Govt.State 2009-10
 andhra pradesh,307.63,307.0
 assam,49.322000000000003,49.0
 bihar,42.914000000000001,36.0
 chattisgarh,18.806000000000001,19.0
 goa,5.6980000000000004,6.0
 gujarat,118.13,115.0
 haryana,60.578000000000003,60.0
 himachal pradesh,43.595999999999997,43.0
 jammu & kashmir,9.3499999999999996,9.0
 jharkhand,42.170000000000002,43.0
 karnataka,159.62,161.0
 kerala,165.96000000000001,167.0
 madhya pradesh,62.350000000000001,62.0
 maharashtra,222.16,215.0
 manipur,3.2559999999999998,3.0
 meghalaya,1.3580000000000001,2.0
 mizoram,1.5,2.0
 nagaland,1.272,1.0
 orissa,74.301000000000002,71.0
 punjab,80.0,84.0
 rajasthan,95.396000000000001,94.0
 tamil nadu,333.97000000000003,334.0
 tripura,4.8380000000000001,7.0
 uttar pradesh,333.22000000000003,337.0
 uttarakhand,35.790999999999997,38.0
 west bengal,101.43000000000001,97.0
 a. & n. islands,0.81499999999999995,1.0
 chandigarh,2.1059999999999999,2.0
 delhi,34.405999999999999,35.0
 daman & diu,0.097000000000000003,
 puducherry,9.9179999999999993,10.0
