, Public sector Central Government  2008-09* , Public sector Central Government  2009-10
 andhra pradesh,192.62200000000001,207.0
 assam,67.772000000000006,67.0
 bihar,92.457999999999998,92.0
 chattisgarh,42.719999999999999,27.0
 goa,6.5890000000000004,6.0
 gujarat,86.456999999999994,80.0
 haryana,23.224,23.0
 himachal pradesh,14.172000000000001,14.0
 jammu & kashmir,27.975999999999999,28.0
 jharkhand,86.953999999999994,96.0
 karnataka,95.164000000000001,97.0
 kerala,63.499000000000002,61.0
 madhya pradesh,134.75299999999999,129.0
 maharashtra,356.72300000000001,306.0
 manipur,3.5910000000000002,4.0
 meghalaya,4.0860000000000003,5.0
 mizoram,0.78100000000000003,1.0
 nagaland,4.3170000000000002,5.0
 orissa,63.189,61.0
 punjab,60.0,62.0
 rajasthan,121.276,118.0
 tamil nadu,223.309,217.0
 tripura,6.5380000000000003,2.0
 uttar pradesh,329.19200000000001,324.0
 uttarakhand,20.591000000000001,22.0
 west bengal,308.15300000000002,272.0
 a. & n. islands,4.8239999999999998,5.0
 chandigarh,11.542,11.0
 delhi,203.05099999999999,203.0
 daman & diu,,
 puducherry,4.9779999999999998,5.0
