, Public sector State Government 2009-10, Public sector Quasi Govt.Central 2008-09*
Andhra Pradesh,503.0,184.18100000000001
Assam,312.0,88.200000000000003
Bihar ,206.0,47.271000000000001
Chhatisgarh,140.0,94.522999999999996
Goa,54.0,13.792
Gujarat,174.0,110.979
Haryana,244.0,36.978999999999999
Himachal Pradesh,189.0,17.196000000000002
Jammu & Kashmir,148.0,7.923
Jharkhand,177.0,915.495
Karnataka,571.0,159.47200000000001
Kerala,267.0,90.903000000000006
Madhya Pradesh ,464.0,142.15600000000001
Maharashtra,531.0,368.54000000000002
Manipur,61.0,4.5880000000000001
Meghalaya,28.0,2.694
Mizoram,33.0,1.329
Nagaland,63.0,2.976
Orissa,370.0,93.512
Punjab,254.0,53.0
Rajasthan,600.0,72.245000000000005
Tamil Nadu,574.0,178.60900000000001
Tripura,117.0,2.8919999999999999
Uttar Pradesh,691.0,169.16399999999999
Uttarakhand,106.0,33.106000000000002
West Bengal ,277.0,344.53500000000003
 a. & n. islands,26.0,2.5350000000000001
Chhatisgarh,19.0,17.648
Delhi,131.0,145.03999999999999
 daman & diu,1.0,
 puducherry,22.0,1.0269999999999999
