,Total Number of Factories (2001),Total Number of Factories (2002),Total Number of factories (2003),Total Number of Factories (2004),Total Number of Factories (2005),Total Number of Factories (2006),Total Number of Factories (2007),Total Number of Factories (2008),Total Number of factories (2009)
Andhra Pradesh,29218.0,30762.0,27927.0,28016.0,28149.0,28168.0,29451.0,30054.0,30827.0
Assam,1473.0,1554.0,1526.0,1671.0,1876.0,2073.0,2299.0,1946.0,2299.0
Bihar ,,,,,5926.0,,6443.0,6668.0,6443.0
"goa,daman & diu",644.0,695.0,696.0,661.0,675.0,683.0,723.0,722.0,720.0
Gujarat,18010.0,,,,,22244.0,,,
Haryana,,8794.0,6303.0,9170.0,9240.0,9642.0,9959.0,9978.0,10306.0
Himachal Pradesh,,,,,,,,,
Jammu & Kashmir,,,,,,,,,
Jharkhand,,,,,5414.0,5972.0,6216.0,6496.0,
Karnataka,,9542.0,9750.0,10063.0,10033.0,10062.0,11066.0,11782.0,
Kerala,,,,18221.0,18011.0,18164.0,,,
Madhya Pradesh ,7741.0,7806.0,7893.0,7586.0,7908.0,8034.0,8782.0,9061.0,
Maharashtra,28501.0,28783.0,28892.0,29332.0,30461.0,30773.0,30948.0,,34118.0
Manipur,,,,,,,,,944.0
Meghalaya,,,,74.0,82.0,111.0,115.0,125.0,98.0
Orissa,1920.0,1899.0,1933.0,1994.0,2015.0,2137.0,2210.0,2345.0,2469.0
Punjab,13439.0,13791.0,14109.0,14670.0,15311.0,16018.0,16326.0,17007.0,17168.0
Rajasthan,9103.0,9341.0,9406.0,9711.0,9889.0,10552.0,10412.0,11253.0,11575.0
Tamil Nadu,24097.0,24811.0,,25843.0,28341.0,29448.0,,,
Tripura,1433.0,1481.0,1522.0,1542.0,1575.0,1575.0,1477.0,1547.0,1626.0
Uttarakhand,,,,,,,,1486.0,1743.0
Uttar Pradesh,,,,,,,13152.0,13129.0,13577.0
West Bengal ,,,,,,,13224.0,14209.0,
 a. & n.islands,,48.0,33.0,,,,38.0,,42.0
Chhatisgarh,486.0,494.0,484.0,437.0,435.0,441.0,458.0,,472.0
 d. & n. haveli,,,,,,,,,
Delhi,6863.0,,,,,,,,8004.0
 puducherry,1872.0,1284.0,1421.0,,,,,,
