,    Middle /Sr Basic SchoolsTotal  2008-09,    Middle /Sr Basic SchoolsTotal   2009-10,    Middle /Sr Basic SchoolsWomen  2008-09,    Middle /Sr Basic SchoolsWomen   2009-10,    Middle /Sr Basic Schools% age ofTrained Teachers  2008-09
 andhra pradesh,94662.0,90077.0,41311.0,40507.0,88.0
 arunachal pradesh,5191.0,5792.0,1836.0,2046.0,17.0
 assam,100129.0,81637.0,26129.0,19541.0,90.0
 bihar,117992.0,124342.0,42225.0,45807.0,90.0
 chhattisgarh,45952.0,53995.0,14095.0,18864.0,72.0
 goa,2228.0,2515.0,1606.0,1808.0,100.0
 gujarat,198436.0,199385.0,106873.0,106922.0,100.0
 haryana,15610.0,20128.0,7250.0,8870.0,85.0
 himachal pradesh,26427.0,34389.0,9147.0,14357.0,100.0
 jammu & kashmir,50232.0,45151.0,21096.0,20144.0,61.0
 jharkhand,53800.0,53800.0,10105.0,10105.0,100.0
 karnataka,214354.0,223272.0,120960.0,128109.0,100.0
 kerala,44726.0,44136.0,31186.0,30944.0,100.0
 madhya pradesh,142395.0,142395.0,30920.0,30920.0,90.0
 maharashtra,206673.0,205769.0,96927.0,96785.0,96.0
 manipur,8584.0,8597.0,3527.0,3536.0,35.0
 meghalaya,9407.0,9407.0,4335.0,5091.0,36.0
 mizoram,7754.0,7564.0,2687.0,2506.0,50.0
 nagaland,5804.0,5804.0,2101.0,2101.0,19.0
odisha,44387.0,54707.0,13354.0,17863.0,91.0
 punjab,50503.0,50031.0,29231.0,29203.0,100.0
 rajasthan,211138.0,219555.0,67772.0,70676.0,80.0
 sikkim,2229.0,2229.0,1113.0,1113.0,42.0
 tamil nadu,68507.0,67612.0,41248.0,39065.0,100.0
 tripura,8687.0,9522.0,1844.0,2021.0,47.0
 uttar pradesh,87940.0,98072.0,24761.0,30800.0,95.0
 uttarakhand,20654.0,19829.0,7881.0,7371.0,100.0
 west bengal,8620.0,21679.0,2394.0,6074.0,80.0
 a. & n. islands,802.0,856.0,475.0,507.0,99.0
 chandigarh,377.0,353.0,287.0,250.0,96.0
 d. & n. haveli,436.0,537.0,151.0,208.0,93.0
 daman and diu,436.0,436.0,210.0,210.0,96.0
 delhi,7873.0,7297.0,6293.0,6075.0,100.0
 lakshadweep,161.0,244.0,65.0,104.0,100.0
 puducherry,1405.0,1471.0,926.0,1010.0,98.0
